,content_url,listing_price,time_posted,title
38,sfbay.craigslist.org/pen/apa/6048021685.html,2998.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=40, tm_sec=36, tm_wday=4, tm_yday=76, tm_isdst=-1)",Spacious Two Bedroom w/ Large Closets!
39,sfbay.craigslist.org/pen/apa/6048023927.html,2698.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=39, tm_sec=22, tm_wday=4, tm_yday=76, tm_isdst=-1)","Spacious 1 Bedroom, Minutes from Downtown Burlingame Shopping!"
40,sfbay.craigslist.org/pen/apa/6048027813.html,2978.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=36, tm_sec=33, tm_wday=4, tm_yday=76, tm_isdst=-1)",Spacious One Bedroom w/ Large Closets-Must See!
41,sfbay.craigslist.org/pen/apa/6047994705.html,3250.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=17, tm_sec=36, tm_wday=4, tm_yday=76, tm_isdst=-1)","Beautiful Town home, Great Location, In an Upscale Complex"
42,sfbay.craigslist.org/pen/apa/6047974381.html,2506.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=6, tm_sec=9, tm_wday=4, tm_yday=76, tm_isdst=-1)",Brand New Unit With Pool View
43,sfbay.craigslist.org/pen/apa/6047968521.html,2668.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=2, tm_sec=49, tm_wday=4, tm_yday=76, tm_isdst=-1)",ONE MONTH FREE! IDEAL 1 BEDROOM COMPLIMENTARY PILATES and TENNIS!
44,sfbay.craigslist.org/pen/apa/6047941990.html,2457.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=56, tm_sec=16, tm_wday=4, tm_yday=76, tm_isdst=-1)","Spring Forward to your New Home, Fantastic Top floor, End Unit, 1x1"
45,sfbay.craigslist.org/pen/apa/6047939124.html,3375.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=45, tm_sec=42, tm_wday=4, tm_yday=76, tm_isdst=-1)",Beautiful and Spacious 1x1 Available 3/24 at 100 Grand Apartment! #234
46,sfbay.craigslist.org/pen/apa/6047923785.html,2413.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=36, tm_sec=54, tm_wday=4, tm_yday=76, tm_isdst=-1)",EXQUISITE LAGOON VIEWS IN FOSTER CITY'S BEST LOCATION. ONE MONTH FREE!
47,sfbay.craigslist.org/pen/apa/6047897457.html,3394.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=31, tm_sec=53, tm_wday=4, tm_yday=76, tm_isdst=-1)",Lots of Natural Sunlight in this 2 bd/2 ba
